Dataset,Epochs,Attention Type,Optimizer,Window Size,GPU Memory Usage,Training Time,samples/sec,test_loss,Test Accuracy,path_to_train_results,path_to_val_results,Test Error,"Cost Function (0.25, 0.75)","Cost Function (0.5, 0.5)","Cost Function (0.75, 0.25)"
emotion,7,sliding + sparse,Adam,16,0.09544900896910641,418.453,167.751,0.11853237450122833,0.9863013698630136,results\emotion-epochs_7\sliding + sparse\adam\att_win_size_16\train_losses.csv,results\emotion-epochs_7\sliding + sparse\adam\att_win_size_16\val_losses.csv,0.013698630136986356,0.03413622484501637,0.05457381955304638,0.0750114142610764
emotion,7,sliding + sparse,Adam,256,0.3792492525744658,744.8082,94.247,0.1318754255771637,0.9726027397260273,results\emotion-epochs_7\sliding + sparse\adam\att_win_size_256\train_losses.csv,results\emotion-epochs_7\sliding + sparse\adam\att_win_size_256\val_losses.csv,0.027397260273972712,0.11536025834909598,0.20332325642421925,0.29128625449934253
emotion,7,sliding + sparse,Adam,32,0.11881297752186915,418.9939,167.535,0.09843955934047699,0.989041095890411,results\emotion-epochs_7\sliding + sparse\adam\att_win_size_32\train_losses.csv,results\emotion-epochs_7\sliding + sparse\adam\att_win_size_32\val_losses.csv,0.010958904109588996,0.03792242246265903,0.06488594081572907,0.09184945916879911
emotion,7,sliding + sparse,Adam,512,1.0,1850.8066,37.927,0.1118965744972229,0.9671232876712326,results\emotion-epochs_7\sliding + sparse\adam\att_win_size_512\train_losses.csv,results\emotion-epochs_7\sliding + sparse\adam\att_win_size_512\val_losses.csv,0.03287671232876743,0.2746575342465756,0.5164383561643837,0.7582191780821919
emotion,7,sliding + sparse,Adam,64,0.1480456206400177,415.5982,168.904,0.1040852963924408,0.9945205479452053,results\emotion-epochs_7\sliding + sparse\adam\att_win_size_64\train_losses.csv,results\emotion-epochs_7\sliding + sparse\adam\att_win_size_64\val_losses.csv,0.00547945205479472,0.041120994201100464,0.07676253634740621,0.11240407849371195
emotion,7,sliding + sparse,AdamW,128,0.16421215812202417,450.9728,155.655,0.11885948479175568,0.989041095890411,results\emotion-epochs_7\sliding + sparse\adamw\att_win_size_128\train_losses.csv,results\emotion-epochs_7\sliding + sparse\adamw\att_win_size_128\val_losses.csv,0.010958904109588996,0.04927221761269779,0.08758553111580658,0.12589884461891537
emotion,7,sliding + sparse,AdamW,16,0.09544900896910641,433.5813,161.898,0.12510040402412415,0.9780821917808216,results\emotion-epochs_7\sliding + sparse\adamw\att_win_size_16\train_losses.csv,results\emotion-epochs_7\sliding + sparse\adamw\att_win_size_16\val_losses.csv,0.021917808219178436,0.04030060840666043,0.05868340859414242,0.07706620878162442
emotion,7,sliding + sparse,AdamW,256,0.3792492525744658,751.3162,93.431,0.13505659997463226,0.9780821917808216,results\emotion-epochs_7\sliding + sparse\adamw\att_win_size_256\train_losses.csv,results\emotion-epochs_7\sliding + sparse\adamw\att_win_size_256\val_losses.csv,0.021917808219178436,0.11125066930800027,0.2005835303968221,0.28991639148564396
emotion,7,sliding + sparse,AdamW,32,0.11881297752186915,421.0796,166.705,0.1361171007156372,0.9808219178082189,results\emotion-epochs_7\sliding + sparse\adamw\att_win_size_32\train_losses.csv,results\emotion-epochs_7\sliding + sparse\adamw\att_win_size_32\val_losses.csv,0.019178082191781076,0.044086806024303093,0.06899552985682511,0.09390425368934713
emotion,7,sliding + sparse,AdamW,512,1.0,1867.0917,37.596,0.12177326530218124,0.9808219178082189,results\emotion-epochs_7\sliding + sparse\adamw\att_win_size_512\train_losses.csv,results\emotion-epochs_7\sliding + sparse\adamw\att_win_size_512\val_losses.csv,0.019178082191781076,0.2643835616438358,0.5095890410958905,0.7547945205479453
